chiave,timestamp,nome_via,direzione,conteggio_veicoli,score_ensemble,score_b1_norm,score_b2_norm,score_b3_norm,tipo_giorno,ora,temperature_2m,precipitation,accuratezza
261,2024-01-01 01:00:00,VIA GIUSEPPE MEZZOFANTI,O,302.0,0.9976155190758474,0.9976155190758474,0.974025624461671,0.004789545016973197,festivo,1,12.8,0.0,100.0
230,2024-01-01 01:00:00,VIA GIUSEPPE DOZZA,SE,313.0,0.9969853574504737,0.9969853574504737,0.974025624461671,0.004789545016973197,festivo,1,12.8,0.0,100.0
255,2024-01-01 01:00:00,VIA PO,N,325.0,0.9961240310077519,0.9961240310077519,0.974025624461671,0.004789545016973197,festivo,1,12.8,0.0,100.0
255,2024-01-01 07:00:00,VIA PO,N,51.0,0.9998005015959872,0.9998005015959872,0.974025624461671,0.004789545016973197,festivo,7,5.8,0.0,100.0
104,2024-01-01 07:00:00,VIA CRISTOFORO COLOMBO,N,130.0,0.9994870041039672,0.9994870041039672,0.974025624461671,0.004789545016973197,festivo,7,5.8,0.0,100.0
228,2024-01-01 07:00:00,VIA GIUSEPPE DOZZA,NO,45.0,0.9990690074479405,0.9990690074479405,0.974025624461671,0.004789545016973197,festivo,7,5.8,0.0,100.0
240,2024-01-01 07:00:00,VIA PARISIO,O,28.0,0.9988726756852612,0.9988726756852612,0.974025624461671,0.004789545016973197,festivo,7,5.8,0.0,100.0
273,2024-01-01 07:00:00,VIA S.MAMOLO,N,15.0,0.9987586765972539,0.9987586765972539,0.974025624461671,0.004789545016973197,festivo,7,5.8,0.0,100.0
230,2024-01-01 07:00:00,VIA GIUSEPPE DOZZA,SE,53.0,0.9985591781932411,0.9985591781932411,0.974025624461671,0.004789545016973197,festivo,7,5.8,0.0,100.0
20,2024-01-01 07:00:00,VIA S.STEFANO,SE,40.0,0.9976883518265187,0.9976883518265187,0.974025624461671,0.004789545016973197,festivo,7,5.8,0.0,100.0
261,2024-01-01 07:00:00,VIA GIUSEPPE MEZZOFANTI,O,41.0,0.9976060191518468,0.9976060191518468,0.974025624461671,0.004789545016973197,festivo,7,5.8,0.0,100.0
255,2024-01-01 08:00:00,VIA PO,N,63.0,0.9999240006079951,0.9999240006079951,0.974025624461671,0.004789545016973197,festivo,8,4.8,0.0,100.0
261,2024-01-01 08:00:00,VIA GIUSEPPE MEZZOFANTI,O,59.0,0.9999050007599939,0.9999050007599939,0.974025624461671,0.004789545016973197,festivo,8,4.8,0.0,83.0
208,2024-01-01 08:00:00,VIA FILIPPO BEROALDO,E,16.0,0.999870167705325,0.999870167705325,0.974025624461671,0.004789545016973197,festivo,8,4.8,0.0,100.0
104,2024-01-01 08:00:00,VIA CRISTOFORO COLOMBO,N,138.0,0.9998353346506561,0.9998353346506561,0.974025624461671,0.004789545016973197,festivo,8,4.8,0.0,100.0
232,2024-01-01 08:00:00,VIA ALBERTO DALLOLIO,S,32.0,0.9996675026599787,0.9996675026599787,0.974025624461671,0.004789545016973197,festivo,8,4.8,0.0,100.0
240,2024-01-01 08:00:00,VIA PARISIO,O,23.0,0.9995820033439733,0.9995820033439733,0.974025624461671,0.004789545016973197,festivo,8,4.8,0.0,100.0
20,2024-01-01 08:00:00,VIA S.STEFANO,SE,46.0,0.9993065055479556,0.9993065055479556,0.974025624461671,0.004789545016973197,festivo,8,4.8,0.0,100.0
273,2024-01-01 08:00:00,VIA S.MAMOLO,N,22.0,0.9992653392106197,0.9992653392106197,0.974025624461671,0.004789545016973197,festivo,8,4.8,0.0,100.0
228,2024-01-01 08:00:00,VIA GIUSEPPE DOZZA,NO,74.0,0.9989328418705984,0.9989328418705984,0.974025624461671,0.004789545016973197,festivo,8,4.8,0.0,100.0
230,2024-01-01 08:00:00,VIA GIUSEPPE DOZZA,SE,68.0,0.998806176217257,0.998806176217257,0.974025624461671,0.004789545016973197,festivo,8,4.8,0.0,100.0
255,2024-01-01 09:00:00,VIA PO,N,127.0,0.999385671581294,0.999385671581294,0.974025624461671,0.004789545016973197,festivo,9,4.1,0.0,100.0
104,2024-01-01 09:00:00,VIA CRISTOFORO COLOMBO,N,229.0,0.9987871763692557,0.9987871763692557,0.974025624461671,0.004789545016973197,festivo,9,4.1,0.0,91.0
240,2024-01-01 09:00:00,VIA PARISIO,O,60.0,0.9983723463545625,0.9983723463545625,0.974025624461671,0.004789545016973197,festivo,9,4.1,0.0,100.0
237,2024-01-01 09:00:00,VIA PIETRO ALBERTONI,S,14.0,0.9980905152758778,0.9980905152758778,0.974025624461671,0.004789545016973197,festivo,9,4.1,0.0,100.0
228,2024-01-01 09:00:00,VIA GIUSEPPE DOZZA,NO,118.0,0.9980018493185387,0.9980018493185387,0.974025624461671,0.004789545016973197,festivo,9,4.1,0.0,100.0
261,2024-01-01 09:00:00,VIA GIUSEPPE MEZZOFANTI,O,103.0,0.9979258499265339,0.9979258499265339,0.974025624461671,0.004789545016973197,festivo,9,4.1,0.0,100.0
20,2024-01-01 09:00:00,VIA S.STEFANO,SE,68.0,0.9972418553984902,0.9972418553984902,0.974025624461671,0.004789545016973197,festivo,9,4.1,0.0,91.0
230,2024-01-01 09:00:00,VIA GIUSEPPE DOZZA,SE,134.0,0.9970550235598116,0.9970550235598116,0.974025624461671,0.004789545016973197,festivo,9,4.1,0.0,100.0
255,2024-01-01 10:00:00,VIA PO,N,186.0,0.9990531742412727,0.9990531742412727,0.974025624461671,0.004789545016973197,festivo,10,6.6,0.0,100.0
230,2024-01-01 10:00:00,VIA GIUSEPPE DOZZA,SE,204.0,0.9988948421745959,0.9988948421745959,0.974025624461671,0.004789545016973197,festivo,10,6.6,0.0,100.0
237,2024-01-01 10:00:00,VIA PIETRO ALBERTONI,S,33.0,0.9981063484825454,0.9981063484825454,0.974025624461671,0.004789545016973197,festivo,10,6.6,0.0,100.0
20,2024-01-01 10:00:00,VIA S.STEFANO,SE,98.0,0.9968428585904646,0.9968428585904646,0.974025624461671,0.004789545016973197,festivo,10,6.6,0.0,100.0
104,2024-01-01 10:00:00,VIA CRISTOFORO COLOMBO,N,391.0,0.9967351927851243,0.9967351927851243,0.974025624461671,0.004789545016973197,festivo,10,6.6,0.0,100.0
261,2024-01-01 10:00:00,VIA GIUSEPPE MEZZOFANTI,O,179.0,0.9963203627704311,0.9963203627704311,0.974025624461671,0.004789545016973197,festivo,10,6.6,0.0,100.0
240,2024-01-01 10:00:00,VIA PARISIO,O,80.0,0.9961493641384203,0.9961493641384203,0.974025624461671,0.004789545016973197,festivo,10,6.6,0.0,100.0
237,2024-01-01 11:00:00,VIA PIETRO ALBERTONI,S,35.0,0.9991576734052794,0.9991576734052794,0.974025624461671,0.004789545016973197,festivo,11,8.1,0.0,91.0
230,2024-01-01 11:00:00,VIA GIUSEPPE DOZZA,SE,276.0,0.9963646957491007,0.9963646957491007,0.974025624461671,0.004789545016973197,festivo,11,8.1,0.0,100.0
237,2024-01-01 12:00:00,VIA PIETRO ALBERTONI,S,54.0,0.9991165070679434,0.9991165070679434,0.974025624461671,0.004789545016973197,festivo,12,8.9,0.0,100.0
230,2024-01-01 12:00:00,VIA GIUSEPPE DOZZA,SE,302.0,0.9976820185438516,0.9976820185438516,0.974025624461671,0.004789545016973197,festivo,12,8.9,0.0,100.0
237,2024-01-01 13:00:00,VIA PIETRO ALBERTONI,S,92.0,0.9991830065359477,0.9991830065359477,0.974025624461671,0.004789545016973197,festivo,13,9.8,0.0,100.0
230,2024-01-01 13:00:00,VIA GIUSEPPE DOZZA,SE,278.0,0.996833358666464,0.996833358666464,0.974025624461671,0.004789545016973197,festivo,13,9.8,0.0,100.0
230,2024-01-01 14:00:00,VIA GIUSEPPE DOZZA,SE,279.0,0.9974191873131681,0.9974191873131681,0.974025624461671,0.004789545016973197,festivo,14,10.2,0.0,100.0
255,2024-01-01 14:00:00,VIA PO,N,236.0,0.9968365253077975,0.9968365253077975,0.974025624461671,0.004789545016973197,festivo,14,10.2,0.0,100.0
240,2024-01-01 14:00:00,VIA PARISIO,O,101.0,0.9967573592744592,0.9967573592744592,0.974025624461671,0.004789545016973197,festivo,14,10.2,0.0,100.0
230,2024-01-01 15:00:00,VIA GIUSEPPE DOZZA,SE,328.0,0.9968301920251305,0.9968301920251305,0.974025624461671,0.004789545016973197,festivo,15,11.2,0.0,100.0
230,2024-01-01 16:00:00,VIA GIUSEPPE DOZZA,SE,359.0,0.9973463545624969,0.9973463545624969,0.974025624461671,0.004789545016973197,festivo,16,10.4,0.0,100.0
255,2024-01-01 16:00:00,VIA PO,N,393.0,0.9970170238638091,0.9970170238638091,0.974025624461671,0.004789545016973197,festivo,16,10.4,0.0,100.0
232,2024-01-01 16:00:00,VIA ALBERTO DALLOLIO,S,110.0,0.9967731924811268,0.9967731924811268,0.974025624461671,0.004789545016973197,festivo,16,10.4,0.0,100.0
237,2024-01-01 16:00:00,VIA PIETRO ALBERTONI,S,64.0,0.9966370269037848,0.9966370269037848,0.974025624461671,0.004789545016973197,festivo,16,10.4,0.0,100.0
255,2024-01-01 17:00:00,VIA PO,N,358.0,0.9969441911131378,0.9969441911131378,0.974025624461671,0.004789545016973197,festivo,17,8.9,0.0,100.0
230,2024-01-01 17:00:00,VIA GIUSEPPE DOZZA,SE,369.0,0.9968048588944621,0.9968048588944621,0.974025624461671,0.004789545016973197,festivo,17,8.9,0.0,100.0
240,2024-01-01 18:00:00,VIA PARISIO,O,127.0,0.9977326848051882,0.9977326848051882,0.974025624461671,0.004789545016973197,festivo,18,7.2,0.0,100.0
104,2024-01-01 18:00:00,VIA CRISTOFORO COLOMBO,N,674.0,0.9968555251557988,0.9968555251557988,0.974025624461671,0.004789545016973197,festivo,18,7.2,0.0,100.0
255,2024-01-01 18:00:00,VIA PO,N,319.0,0.9962855297157622,0.9962855297157622,0.974025624461671,0.004789545016973197,festivo,18,7.2,0.0,100.0
273,2024-01-02 07:00:00,VIA S.MAMOLO,N,76.0,0.9970455236358109,0.9970455236358109,0.974025624461671,0.004789545016973197,feriale,7,2.2,0.0,100.0
240,2024-01-02 07:00:00,VIA PARISIO,O,121.0,0.9964280285757714,0.9964280285757714,0.974025624461671,0.004789545016973197,feriale,7,2.2,0.0,100.0
255,2024-01-02 07:00:00,VIA PO,N,375.0,0.9962031970410903,0.9962031970410903,0.974025624461671,0.004789545016973197,feriale,7,2.2,0.0,100.0
273,2024-01-02 08:00:00,VIA S.MAMOLO,N,125.0,0.9991260069919441,0.9991260069919441,0.974025624461671,0.004789545016973197,feriale,8,2.0,0.0,100.0
232,2024-01-02 08:00:00,VIA ALBERTO DALLOLIO,S,182.0,0.9978055175558596,0.9978055175558596,0.974025624461671,0.004789545016973197,feriale,8,2.0,0.0,100.0
20,2024-01-02 08:00:00,VIA S.STEFANO,SE,204.0,0.997140522875817,0.997140522875817,0.974025624461671,0.004789545016973197,feriale,8,2.0,0.0,100.0
261,2024-01-02 08:00:00,VIA GIUSEPPE MEZZOFANTI,O,328.0,0.9969315245478036,0.9969315245478036,0.974025624461671,0.004789545016973197,feriale,8,2.0,0.0,100.0
240,2024-01-02 08:00:00,VIA PARISIO,O,157.0,0.9965071946091097,0.9965071946091097,0.974025624461671,0.004789545016973197,feriale,8,2.0,0.0,100.0
208,2024-01-02 08:00:00,VIA FILIPPO BEROALDO,E,120.0,0.9964945280437757,0.9964945280437757,0.974025624461671,0.004789545016973197,feriale,8,2.0,0.0,100.0
230,2024-01-02 08:00:00,VIA GIUSEPPE DOZZA,SE,369.0,0.9963741956731013,0.9963741956731013,0.974025624461671,0.004789545016973197,feriale,8,2.0,0.0,100.0
237,2024-01-02 10:00:00,VIA PIETRO ALBERTONI,S,122.0,0.9967130262957896,0.9967130262957896,0.974025624461671,0.004789545016973197,feriale,10,4.3,0.0,100.0
237,2024-01-02 12:00:00,VIA PIETRO ALBERTONI,S,153.0,0.9966845265237878,0.9966845265237878,0.974025624461671,0.004789545016973197,feriale,12,6.7,0.0,100.0
273,2024-01-03 07:00:00,VIA S.MAMOLO,N,82.0,0.9972133556264883,0.9972133556264883,0.974025624461671,0.004789545016973197,feriale,7,4.3,0.0,100.0
273,2024-01-03 08:00:00,VIA S.MAMOLO,N,157.0,0.9991925064599483,0.9991925064599483,0.974025624461671,0.004789545016973197,feriale,8,4.6,0.0,91.0
232,2024-01-03 08:00:00,VIA ALBERTO DALLOLIO,S,200.0,0.9974318538785023,0.9974318538785023,0.974025624461671,0.004789545016973197,feriale,8,4.6,0.0,100.0
237,2024-01-03 12:00:00,VIA PIETRO ALBERTONI,S,122.0,0.9981950144398845,0.9981950144398845,0.974025624461671,0.004789545016973197,feriale,12,8.8,0.0,100.0
261,2024-01-04 07:00:00,VIA GIUSEPPE MEZZOFANTI,O,303.0,0.9964406951411056,0.9964406951411056,0.974025624461671,0.004789545016973197,feriale,7,4.9,0.0,91.0
273,2024-01-04 07:00:00,VIA S.MAMOLO,N,84.0,0.9963995288037696,0.9963995288037696,0.974025624461671,0.004789545016973197,feriale,7,4.9,0.0,91.0
273,2024-01-04 08:00:00,VIA S.MAMOLO,N,154.0,0.9984135126918985,0.9984135126918985,0.974025624461671,0.004789545016973197,feriale,8,5.8,0.0,100.0
237,2024-01-04 11:00:00,VIA PIETRO ALBERTONI,S,159.0,0.9966180270557835,0.9966180270557835,0.974025624461671,0.004789545016973197,feriale,11,11.0,0.0,100.0
261,2024-01-05 07:00:00,VIA GIUSEPPE MEZZOFANTI,O,324.0,0.9960955312357501,0.9960955312357501,0.974025624461671,0.004789545016973197,feriale,7,4.3,0.0,100.0
273,2024-01-05 08:00:00,VIA S.MAMOLO,N,166.0,0.9980240158078736,0.9980240158078736,0.974025624461671,0.004789545016973197,feriale,8,4.0,0.0,100.0
232,2024-01-05 08:00:00,VIA ALBERTO DALLOLIO,S,187.0,0.997222855550489,0.997222855550489,0.974025624461671,0.004789545016973197,feriale,8,4.0,0.0,100.0
237,2024-01-05 13:00:00,VIA PIETRO ALBERTONI,S,152.0,0.997891016871865,0.997891016871865,0.974025624461671,0.004789545016973197,feriale,13,8.1,0.0,100.0
230,2024-01-06 07:00:00,VIA GIUSEPPE DOZZA,SE,82.0,0.9968111921771292,0.9968111921771292,0.974025624461671,0.004789545016973197,festivo,7,6.8,0.4,100.0
230,2024-01-06 10:00:00,VIA GIUSEPPE DOZZA,SE,416.0,0.9980778487105436,0.9980778487105436,0.974025624461671,0.004789545016973197,festivo,10,6.8,2.9,100.0
228,2024-01-06 13:00:00,VIA GIUSEPPE DOZZA,NO,318.0,0.9969346911891371,0.9969346911891371,0.974025624461671,0.004789545016973197,festivo,13,7.4,1.2,100.0
103,2024-01-08 06:00:00,VIA CRISTOFORO COLOMBO,S,0.0,0.9985655114759082,0.027779361098444547,0.754708795662968,0.9985655114759082,feriale,6,6.6,0.1,100.0
273,2024-01-08 07:00:00,VIA S.MAMOLO,N,325.0,0.9997625018999848,0.24093390586208643,0.4513730556822212,0.9997625018999848,feriale,7,6.5,0.0,100.0
103,2024-01-08 07:00:00,VIA CRISTOFORO COLOMBO,S,0.0,0.9997181689213153,0.027779361098444547,0.6815182145209505,0.9997181689213153,feriale,7,6.5,0.0,100.0
261,2024-01-08 07:00:00,VIA GIUSEPPE MEZZOFANTI,O,586.0,0.9995788367026397,0.9874316005471956,0.45220271571160764,0.9995788367026397,feriale,7,6.5,0.0,100.0
20,2024-01-08 07:00:00,VIA S.STEFANO,SE,283.0,0.9994585043319654,0.5419326645386837,0.3983001469321579,0.9994585043319654,feriale,7,6.5,0.0,100.0
232,2024-01-08 07:00:00,VIA ALBERTO DALLOLIO,S,291.0,0.999119673709277,0.9905570755433957,0.39851231190150477,0.999119673709277,feriale,7,6.5,0.0,100.0
208,2024-01-08 07:00:00,VIA FILIPPO BEROALDO,E,182.0,0.9989550083599331,0.9823586411308709,0.47470486902771447,0.9989550083599331,feriale,7,6.5,0.0,100.0
230,2024-01-08 07:00:00,VIA GIUSEPPE DOZZA,SE,457.0,0.9988853422505953,0.24870167705325025,0.5073972741551401,0.9988853422505953,feriale,7,6.5,0.0,100.0
240,2024-01-08 07:00:00,VIA PARISIO,O,305.0,0.9988410092719259,0.09979353498505346,0.3856810812180169,0.9988410092719259,feriale,7,6.5,0.0,100.0
255,2024-01-08 07:00:00,VIA PO,N,732.0,0.9987523433145868,0.06577747378020976,0.6425336930637888,0.9987523433145868,feriale,7,6.5,0.0,100.0
276,2024-01-08 07:00:00,PIAZZA DI PORTA S.MAMOLO,NO,141.0,0.9977200182398541,0.5590356943811117,0.4609933120535036,0.9977200182398541,feriale,7,6.5,0.0,100.0
230,2024-01-08 08:00:00,VIA GIUSEPPE DOZZA,SE,665.0,0.9975268531185084,0.9806423215280945,0.7020760500582662,0.9975268531185084,feriale,8,6.5,0.0,100.0
326,2024-01-08 08:00:00,VIALE GIAN BATTISTA ERCOLANI,N,94.0,0.9970328570704767,0.9436179510563916,0.5890902872777017,0.9970328570704767,feriale,8,6.5,0.0,100.0
275,2024-01-08 08:00:00,VIA D'AZEGLIO,S,240.0,0.9969125246998024,0.9739132086943304,0.4404196433095202,0.9969125246998024,feriale,8,6.5,0.0,100.0
208,2024-01-08 08:00:00,VIA FILIPPO BEROALDO,E,304.0,0.9964121953691037,0.16873131681613213,0.5287467700258398,0.9964121953691037,feriale,8,6.5,0.0,100.0
157,2024-01-08 08:00:00,VIA FRANCESCO ZANARDI,SE,235.0,0.9961936971170897,0.4978086841971931,0.511827405380757,0.9961936971170897,feriale,8,6.5,0.0,100.0
208,2024-01-08 09:00:00,VIA FILIPPO BEROALDO,E,146.0,0.99859401124791,0.551628920301971,0.6019690175811927,0.99859401124791,feriale,9,6.3,0.0,100.0
237,2024-01-08 09:00:00,VIA PIETRO ALBERTONI,S,179.0,0.9983090135278918,0.9389819881440948,0.47016390535542385,0.9983090135278918,feriale,9,6.3,0.0,100.0
237,2024-01-08 11:00:00,VIA PIETRO ALBERTONI,S,257.0,0.9986795105639155,0.9809494857374474,0.5937547499620003,0.9986795105639155,feriale,11,6.9,0.1,100.0
